id,nombre,abreviatura,estado_dic_universidades,pais,tipo_institucion,tipo_gestion
1,Universidad Nacional del Altiplano,"",1,Perú,U,N
2,Universidad Nacional Agraria La Molina,"",1,Perú,U,N
3,Universidad Nacional de Ingeniería,"",1,Perú,U,N
4,OBIHIRO UNIVERSITY OF AGRICULTURE AND VETERINARY MEDICINE,"",1,JAPÓN,U,N
5,UNIVERSIDAD DE AGRICULTURA Y MEDICINA VETERINARIA DE OBIHIRO,"",1,JAPÓN,U,N
6,Universidad José Carlos Mariátegui,"",1,Perú,U,P
7,UNIVERSIDAD FEDERAL DE PELOTAS,"",1,BRASIL,U,N
8,UNIVERSIDAD DE SANTIAGO DE CHILE,"",1,CHILE,U,N
9,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,"",1,CHILE,U,N
10,Universidad Nacional de San Agustín de Arequipa,"",1,Perú,U,N
11,UNIVERSIDAD DE CONCEPCIÓN,"",1,CHILE,U,N
12,UNIVERSIDAD CENTRAL DE VENEZUELA ,"",1,VENEZUELA,U,N
13,Universidad Alas Peruanas S.A.,"",1,Perú,U,P
14,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,"",1,BRASIL,U,N
15,Universidad Nacional de San Antonio Abad del Cusco,"",1,Perú,U,N
16,UNIVERSIDAD NACIONAL DE COLOMBIA,"",1,COLOMBIA,U,N
17,UNIVERSIDAD AUTÓNOMA CHAPINGO,"",1,MÉXICO,U,N
18,Universidad Nacional Federico Villarreal,"",1,Perú,U,N
19,Universidad Andina Néstor Cáceres Velásquez,"",1,Perú,U,P
20,COLEGIO DE POSGRADUADOS - INSTITUCIÓN DE ENSEÑANZA E INVESTIGACIÓN EN CIENCIAS AGRICOLAS,"",1,MÉXICO,U,N
21,UNIVERSIDAD MAYOR DE SAN ANDRÉS,"",1,BOLIVIA,U,N
22,Universidad Nacional Mayor de San Marcos,"",1,Perú,U,N
23,Universidad de San Martín de Porres,"",1,Perú,U,P
24,CEKLEGIO DE POSTGRADUADOS,"",1,MÉXICO,U,N
25,FACULTAD LATINOAMERICAN DE CIENCIAS SOCIALES,"",1,COSTA RICA,U,N
26,Universidad Nacional del Santa,"",1,Perú,U,N
27,UNIVERSIDAD POLITÉCNICA DE MADRID,"",1,ESPAÑA,U,N
28,-,"",1,Perú,-,P
29,UNIVERSIDAD DE PITTSBURGH,"",1,ESTADOS UNIDOS DE AMÉRICA,U,N
30,Universidad Privada San Carlos S.A.C.,"",1,Perú,U,P
31,UNIV. NACIONAL AUTÓNOMA DE MÉXICO,"",1,MÉXICO,U,N
32,COLEGIO DE MEXICO,"",1,MÉXICO,U,N
33,UNIVERSIDAD DE LOS ANDES,"",1,COLOMBIA,U,N
34,UNIVERSIDAD MAYOR DE SAN ANDRES,"",1,BOLIVIA,U,N
35,Universidad Inca Garcilaso de la Vega Asociación Civil,"",1,Perú,U,P
36,Universidad del Pacífico,"",1,Perú,U,P
37,UNIV. ANDINA SIMÓN BOLIVAR,"",1,BOLIVIA,U,N
38,UNIVERSIDAD MAYOR DE SAN SIMÓN,"",1,BOLIVIA,U,N
39,"UNIV, MAYOR DE SAN ANDRES","",1,BOLIVIA,U,N
40,Pontificia Universidad Católica del Perú,"",1,Perú,U,P
41,UNIVERSIDAD COMPLUTENSE DE MADRID   Y UNIVERSIDAD AUTÓNOMA DE MADRID  ,"",1,ESPAÑA,U,N
42,UNIVERSIDAD DE CHILE,"",1,CHILE,U,N
43,UNIVERSIDAD ALBERTO HURTADO,"",1,CHILE,U,N
44,UNIVERSIDAD AUTONOMA CHAPINGO,"",1,MÉXICO,U,N
45,UNIV AUTONOMA DE CHAPINGO,"",1,MÉXICO,U,N
46,UNIVERSIDAD DE LOS ANDES ,"",1,COLOMBIA,U,N
47,DE LOS ANDES,"",1,COLOMBIA,U,N
48,Universidad Católica de Santa María,"",1,Perú,U,P
49,Universidad Nacional Jorge Basadre Grohmann,"",1,Perú,U,N
50,UNIVERSIDAD AUTÓNOMA DE MADRID  ,"",1,ESPAÑA,U,N
51,Universidad Privada César Vallejo,"",1,Perú,U,P
52,UNIVERSIDAD NACIONAL AUTONOMA DE HONDURAS,"",1,HONDURAS,U,N
53,PONTIFICIA UNIV CATOLICA DE SAO PAULO,"",1,BRASIL,U,N
54,UNIVERSIDADE FEDERAL DE MINAS GERAIS,"",1,BRASIL,U,N
55,UNIVERSIDAD CENTRAL DE VENEZUELA,"",1,VENEZUELA,U,N
56,Universidad César Vallejo S.A.C.,"",1,Perú,U,P
57,Universidad Nacional de Educación Enrique Guzmán y Valle,"",1,Perú,U,N
58,Universidad Peruana Cayetano Heredia,"",1,Perú,U,P
59,UNIVERSIDAD DE SAO APULO ,"",1,BRASIL,U,N
60,FEDERAL DE SANTA CATARINA,"",1,BRASIL,U,N
61,UNIVERSIDAD FEDERAL DE SANTA CATARINA,"",1,BRASIL,U,N
62,UNIVERSIDAD NACIONAL AUTONOMA DE MÉXICO,"",1,MÉXICO,U,N
63,UNIVERSIDAD FEDERAL DE SAO PAULO,"",1,BRASIL,U,N
64,LA UNIVERSIDAD DEL VALLE,"",1,COLOMBIA,U,N
65,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,"",1,MÉXICO,U,N
66,Universidad Privada Norbert Wiener S.A.,"",1,Perú,U,P
67,Universidad Católica Los Ángeles de Chimbote,"",1,Perú,U,P
68,UNIVERSIDAD PABLO DE OLAVIDE,"",1,ESPAÑA,U,N
69,UNIVERSIDAD PABLO DE OLAVIDE  ,"",1,ESPAÑA,U,N
70,Universidad Nacional Agraria de la Selva,"",1,Perú,U,N
71,UNIVERSIDADE FEDERAL FLUMINENSE,"",1,BRASIL,U,N
72,DE CHILE,"",1,CHILE,U,N
73,Universidad Privada Telesup S.A.C.,"",1,Perú,U,P
74,UNIVERSIDAD DE SAO PAULO,"",1,BRASIL,U,N
75,Universidad los Ángeles de Chimbote,"",1,Perú,U,P
76,Universidad Ricardo Palma,"",1,Perú,U,P
77,UNIVERSIDAD NACIONAL DE CORDOBA ,"",1,ARGENTINA,U,N
78,ESCUELA NACIONAL DE SALUD PÚBLICA ,"",1,BRASIL,U,N
79,UNIVERSIDAD FEDERAL DE RIO DE JANEIRO,"",1,BRASIL,U,N
80,UNIVERSIDAD NACIONAL DE CÓRDOBA,"",1,ARGENTINA,U,N
81,UNIVERSIDAD ESTADUAL DE CAMPINAS,"",1,BRASIL,U,N
82,UNIVERSIDAD FEDERAL DE RIO GRANDE DO SUL,"",1,BRASIL,U,N
83,UNIV FEDERAL DE RIO GRANDE DO DUL,"",1,BRASIL,U,N
84,UNIVERSIDAD DE MISSOURI-COLUMBIA,"",1,ESTADOS UNIDOS,U,N
85,Universidad Nacional Daniel Alcides Carrión,"",1,Perú,U,N
86,Universidad Nacional de San Cristóbal de Huamanga,"",1,Perú,U,N
87,Universidad de Piura,"",1,Perú,U,P
88,TECH UNIVERSIDAD TECNOLÓGICA,"",1,MÉXICO,U,N
89,Universidad Nacional José Faustino Sánchez Carrión,"",1,Perú,U,N
90,Escuela de Periodismo Jaime Bausate y Meza,"",1,Perú,U,P
91,INSTITUTO DE ALTOS ESTUDIOS DE LA TÉCNICA EN LA INDUSTRIA Y ECONOMÍA PESQUERA DE ASTRAKHAN,"",1,RUSIA,U,N
92,INSTITUTO DE MORFOLOGIA EVOLUTIVA Y ECOLOGIA ANIMAL,"",1,URSS,U,N
93,Universidad Andina del Cusco,"",1,Perú,U,P
94,UNIVERSIDAD ESTATAL DE UTAH,"",1,ESTADOS UNIDOS,U,N
95,UNIVERSIDAD NACIONAL,"",1,COSTA RICA,U,N
96,Universidad Nacional Pedro Ruiz Gallo,"",1,Perú,U,N
97,Universidad San Pedro,"",1,Perú,U,P
98,Universidad Peruana Unión,"",1,Perú,U,P
99,Universidad Privada de Tacna,"",1,Perú,U,P
100,UNIVERSIDAD DE PANAMÁ,"",1,PANAMÁ,U,N
101,Universidad de Lima,"",1,Perú,U,P
102,Universidad Nacional de Trujillo,"",1,Perú,U,N
103,UNIVERSIDADE FEDERAL DO ABC,"",1,BRASIL,U,N
104,UNIVERSITÀ DI PALERMO,"",1,ITALIA,U,N
105,UNIVERSIDAD DE JAÉN  ,"",1,ESPAÑA,U,N
106,UNIVERSIDAD DE ALICANTE  ,"",1,ESPAÑA,U,N
107,Universidad Jaime Bausate y Meza,"",1,Perú,U,P
108,UNIVERSIDAD ESTATAL DE CAMPINAS,"",1,BRASIL,U,N
109,UNIVERSIDAD DE SURREY,"",1,INGLATERRA,U,N
110,Universidad Nacional Hermilio Valdizán de Huánuco,"",1,Perú,U,N
111,UNIVERSIDAD MAYOR DE SAN ANDRES ,"",1,BOLIVIA,U,N
112,ESTATAL PAULISTA JULIO DE MESQUITA FILHO,"",1,BRASIL,U,N
113,"UNIVERSIDAD ESTATAL PAULISTA ""JULIO DE MESQUITA FILHO""","",1,BRASIL,U,N
114,Universidad Nacional del Centro del Perú,"",1,Perú,U,N
115,UNIVERSIDADE FEDERAL DO PARANÁ,"",1,BRASIL,U,N
