id,nombre,id_carrera,id_facultad,id_especialidad,id_sede,estado_ea
1,ADMINISTRACIÓN,6,21,1,1,1
2,ANTROPOLOGÍA,10,7,1,1,1
3,ARQUITECTURA Y URBANISMO,28,16,1,1,1
4,CIENCIAS CONTABLES,7,4,1,1,1
5,CIENCIAS DE LA COMUNICACIÓN SOCIAL,12,7,1,1,1
6,DERECHO,22,12,1,1,1
7,EDUCACIÓN FÍSICA,17,10,1,1,1
8,EDUCACIÓN INICIAL,18,10,1,1,1
9,EDUCACIÓN PRIMARIA,19,10,1,1,1
10,ENFERMERÍA,9,6,1,1,1
11,INGENIERÍA AGRÍCOLA,31,17,1,1,1
12,INGENIERÍA AGROINDUSTRIAL,2,1,1,1,1
13,INGENIERÍA AGRONÓMICA,1,1,1,1,1
14,INGENIERÍA CIVIL,30,16,1,1,1
15,INGENIERÍA DE MINAS,15,8,1,1,1
16,INGENIERÍA DE SISTEMAS,35,19,1,1,1
17,INGENIERÍA ECONÓMICA,5,3,1,1,1
18,INGENIERÍA ELECTRÓNICA,33,19,1,1,1
19,INGENIERÍA ESTADÍSTICA E INFORMÁTICA,21,11,1,1,1
20,INGENIERÍA GEOLÓGICA,26,15,1,1,1
21,INGENIERÍA MECÁNICA ELÉCTRICA,34,19,1,1,1
22,INGENIERÍA METALÚRGICA,27,15,1,1,1
23,INGENIERÍA QUÍMICA,23,13,1,1,1
24,INGENIERÍA TOPOGRÁFICA Y AGRIMENSURA,3,1,1,1,1
25,MEDICINA HUMANA,32,18,1,1,1
26,MEDICINA VETERINARIA Y ZOOTECNÍA,4,2,1,1,1
27,NUTRICIÓN HUMANA,24,14,1,1,1
28,ODONTOLOGÍA,25,14,1,1,1
29,SOCIOLOGÍA,13,7,1,1,1
30,TRABAJO SOCIAL,8,5,1,1,1
31,TURISMO,14,7,1,1,1
32,PSICOLOGÍA,36,7,1,1,1
33,ARTE: ARTES PLÁSTICAS,11,7,2,1,1
34,ARTE: DANZA,11,7,3,1,1
35,ARTE: MÚSICA,11,7,4,1,1
36,ARTE: TEATRO,11,7,5,1,1
37,BIOLOGÍA: ECOLOGÍA,16,9,6,1,1
38,BIOLOGÍA: MICROBIOLOGÍA Y LABORATORIO CLÍNICO,16,9,7,1,1
39,BIOLOGÍA: PESQUERÍA,16,9,8,1,1
40,CIENCIAS FÍSICO MATEMÁTICAS: FÍSICA,29,16,9,1,1
41,CIENCIAS FÍSICO MATEMÁTICAS: MATEMÁTICAS,29,16,10,1,1
42,"EDUCACIÓN SECUNDARIA DE LA ESPECIALIDAD DE CIENCIA, TECNOLOGÍA Y AMBIENTE",20,10,11,1,1
43,EDUCACIÓN SECUNDARIA DE LA ESPECIALIDAD DE CIENCIAS SOCIALES,20,10,12,1,1
44,"EDUCACIÓN SECUNDARIA DE LA ESPECIALIDAD DE LENGUA, LITERATURA, PSICOLOGÍA Y FILOSOFÍA",20,10,13,1,1
45,"EDUCACIÓN SECUNDARIA DE LA ESPECIALIDAD DE MATEMÁTICA, FÍSICA, COMPUTACIÓN E INFORMÁTICA",20,10,14,1,1
46,INGENIERIA AGROINDUSTRIAL - JULI,2,1,1,3,1
47,ARQUITECTURA Y URBANISMO - JULI,28,16,1,3,1
48,CIENCIAS CONTABLES - JULI,7,4,1,3,1
49,INGENIERIA DE TELECOMUNICACIONES - AZANGARO,37,19,1,2,1
50,INGENIERIA DE MINAS - AZANGARO,15,8,1,2,1
51,INGENIERIA ECONÓMICA - AZANGARO,5,3,1,2,1